id,category,question,answer,url
14,inscription,Date limite pour les inscriptions à l'ISET,"Les inscriptions pour la prochaine rentrée universitaire débutent le 15 juillet et se terminent le 15 septembre. Les inscriptions en ligne sont ouvertes 24h/24 pendant cette période. Pour les étudiants internationaux, la date limite est fixée au 31 août. Nous vous recommandons de ne pas attendre les derniers jours pour éviter tout problème technique.",/admissions/calendrier-inscriptions
15,inscription,Quand commencent les inscriptions pour la nouvelle année?,"Les inscriptions pour la prochaine rentrée universitaire débutent le 15 juillet et se terminent le 15 septembre. Les inscriptions en ligne sont ouvertes 24h/24 pendant cette période. Pour les étudiants internationaux, la date limite est fixée au 31 août. Nous vous recommandons de ne pas attendre les derniers jours pour éviter tout problème technique.",/admissions/calendrier-inscriptions
16,inscription,Quel est le montant des frais d'inscription?,"Les frais d'inscription à l'ISET varient selon le programme choisi. Pour les programmes de licence, les frais s'élèvent à 2500 DT par an. Pour les masters, le montant est de 3200 DT par an. Des frais administratifs de 150 DT s'ajoutent pour tous les étudiants. Des facilités de paiement en plusieurs tranches sont possibles. Consultez notre grille tarifaire complète sur le site web.",/admissions/frais-scolarite
17,inscription,Combien coûte l'inscription à l'ISET?,"Les frais d'inscription à l'ISET varient selon le programme choisi. Pour les programmes de licence, les frais s'élèvent à 2500 DT par an. Pour les masters, le montant est de 3200 DT par an. Des frais administratifs de 150 DT s'ajoutent pour tous les étudiants. Des facilités de paiement en plusieurs tranches sont possibles. Consultez notre grille tarifaire complète sur le site web.",/admissions/frais-scolarite
18,inscription,Tarifs des frais de scolarité,"Les frais d'inscription à l'ISET varient selon le programme choisi. Pour les programmes de licence, les frais s'élèvent à 2500 DT par an. Pour les masters, le montant est de 3200 DT par an. Des frais administratifs de 150 DT s'ajoutent pour tous les étudiants. Des facilités de paiement en plusieurs tranches sont possibles. Consultez notre grille tarifaire complète sur le site web.",/admissions/frais-scolarite
19,inscription,Prix de l'inscription pour un semestre,"Les frais d'inscription à l'ISET varient selon le programme choisi. Pour les programmes de licence, les frais s'élèvent à 2500 DT par an. Pour les masters, le montant est de 3200 DT par an. Des frais administratifs de 150 DT s'ajoutent pour tous les étudiants. Des facilités de paiement en plusieurs tranches sont possibles. Consultez notre grille tarifaire complète sur le site web.",/admissions/frais-scolarite
20,inscription,Coût annuel des études à l'ISET,"Les frais d'inscription à l'ISET varient selon le programme choisi. Pour les programmes de licence, les frais s'élèvent à 2500 DT par an. Pour les masters, le montant est de 3200 DT par an. Des frais administratifs de 150 DT s'ajoutent pour tous les étudiants. Des facilités de paiement en plusieurs tranches sont possibles. Consultez notre grille tarifaire complète sur le site web.",/admissions/frais-scolarite
21,programmes,Quels sont les programmes d'études disponibles à l'ISET?,"L'ISET propose plusieurs programmes d'études : 1) Licences en Informatique (Développement Web, Réseaux et Systèmes, Intelligence Artificielle), 2) Licences en Gestion (Comptabilité, Marketing, Finance), 3) Licences en Génie Électrique et Génie Mécanique, 4) Masters en Data Science, Cybersécurité, et Management des Entreprises. Chaque programme dure 3 ans pour les licences et 2 ans pour les masters.",/programmes/catalogue-formations
22,programmes,Quelles filières propose l'ISET?,"L'ISET propose plusieurs programmes d'études : 1) Licences en Informatique (Développement Web, Réseaux et Systèmes, Intelligence Artificielle), 2) Licences en Gestion (Comptabilité, Marketing, Finance), 3) Licences en Génie Électrique et Génie Mécanique, 4) Masters en Data Science, Cybersécurité, et Management des Entreprises. Chaque programme dure 3 ans pour les licences et 2 ans pour les masters.",/programmes/catalogue-formations
23,programmes,Liste des formations disponibles,"L'ISET propose plusieurs programmes d'études : 1) Licences en Informatique (Développement Web, Réseaux et Systèmes, Intelligence Artificielle), 2) Licences en Gestion (Comptabilité, Marketing, Finance), 3) Licences en Génie Électrique et Génie Mécanique, 4) Masters en Data Science, Cybersécurité, et Management des Entreprises. Chaque programme dure 3 ans pour les licences et 2 ans pour les masters.",/programmes/catalogue-formations
24,programmes,Quels diplômes peut-on préparer à l'ISET?,"L'ISET propose plusieurs programmes d'études : 1) Licences en Informatique (Développement Web, Réseaux et Systèmes, Intelligence Artificielle), 2) Licences en Gestion (Comptabilité, Marketing, Finance), 3) Licences en Génie Électrique et Génie Mécanique, 4) Masters en Data Science, Cybersécurité, et Management des Entreprises. Chaque programme dure 3 ans pour les licences et 2 ans pour les masters.",/programmes/catalogue-formations
25,programmes,Catalogue des programmes de l'ISET,"L'ISET propose plusieurs programmes d'études : 1) Licences en Informatique (Développement Web, Réseaux et Systèmes, Intelligence Artificielle), 2) Licences en Gestion (Comptabilité, Marketing, Finance), 3) Licences en Génie Électrique et Génie Mécanique, 4) Masters en Data Science, Cybersécurité, et Management des Entreprises. Chaque programme dure 3 ans pour les licences et 2 ans pour les masters.",/programmes/catalogue-formations
26,programmes,Quel est le contenu du programme d'informatique?,"Le programme d'informatique à l'ISET couvre plusieurs domaines essentiels : programmation (Java, Python, C++), développement web (HTML/CSS, JavaScript, PHP, frameworks modernes), bases de données (SQL, NoSQL), systèmes d'exploitation, réseaux, sécurité informatique, et intelligence artificielle. Le programme inclut également des projets pratiques chaque semestre et un stage obligatoire en entreprise. Les cours sont dispensés par des professionnels du secteur et des enseignants-chercheurs.",/programmes/informatique/details
27,programmes,Matières enseignées en informatique,"Le programme d'informatique à l'ISET couvre plusieurs domaines essentiels : programmation (Java, Python, C++), développement web (HTML/CSS, JavaScript, PHP, frameworks modernes), bases de données (SQL, NoSQL), systèmes d'exploitation, réseaux, sécurité informatique, et intelligence artificielle. Le programme inclut également des projets pratiques chaque semestre et un stage obligatoire en entreprise. Les cours sont dispensés par des professionnels du secteur et des enseignants-chercheurs.",/programmes/informatique/details
28,programmes,Curriculum du programme informatique,"Le programme d'informatique à l'ISET couvre plusieurs domaines essentiels : programmation (Java, Python, C++), développement web (HTML/CSS, JavaScript, PHP, frameworks modernes), bases de données (SQL, NoSQL), systèmes d'exploitation, réseaux, sécurité informatique, et intelligence artificielle. Le programme inclut également des projets pratiques chaque semestre et un stage obligatoire en entreprise. Les cours sont dispensés par des professionnels du secteur et des enseignants-chercheurs.",/programmes/informatique/details
29,programmes,Détails sur la formation en informatique,"Le programme d'informatique à l'ISET couvre plusieurs domaines essentiels : programmation (Java, Python, C++), développement web (HTML/CSS, JavaScript, PHP, frameworks modernes), bases de données (SQL, NoSQL), systèmes d'exploitation, réseaux, sécurité informatique, et intelligence artificielle. Le programme inclut également des projets pratiques chaque semestre et un stage obligatoire en entreprise. Les cours sont dispensés par des professionnels du secteur et des enseignants-chercheurs.",/programmes/informatique/details
30,programmes,Plan d'études en développement web,"Le programme d'informatique à l'ISET couvre plusieurs domaines essentiels : programmation (Java, Python, C++), développement web (HTML/CSS, JavaScript, PHP, frameworks modernes), bases de données (SQL, NoSQL), systèmes d'exploitation, réseaux, sécurité informatique, et intelligence artificielle. Le programme inclut également des projets pratiques chaque semestre et un stage obligatoire en entreprise. Les cours sont dispensés par des professionnels du secteur et des enseignants-chercheurs.",/programmes/informatique/details
31,programmes,Quels sont les débouchés après une formation à l'ISET?,"Les diplômés de l'ISET bénéficient de nombreux débouchés professionnels. Nos statistiques montrent que 85% de nos étudiants trouvent un emploi dans les 6 mois suivant l'obtention de leur diplôme. Les principaux secteurs recruteurs sont : l'informatique et les télécommunications, le secteur bancaire et financier, l'industrie manufacturière, et les cabinets de conseil. Nos partenariats avec plus de 200 entreprises facilitent l'insertion professionnelle de nos étudiants.",/carrieres/debouches-professionnels
32,programmes,Opportunités professionnelles après l'ISET,"Les diplômés de l'ISET bénéficient de nombreux débouchés professionnels. Nos statistiques montrent que 85% de nos étudiants trouvent un emploi dans les 6 mois suivant l'obtention de leur diplôme. Les principaux secteurs recruteurs sont : l'informatique et les télécommunications, le secteur bancaire et financier, l'industrie manufacturière, et les cabinets de conseil. Nos partenariats avec plus de 200 entreprises facilitent l'insertion professionnelle de nos étudiants.",/carrieres/debouches-professionnels
33,programmes,Où travaillent les diplômés de l'ISET?,"Les diplômés de l'ISET bénéficient de nombreux débouchés professionnels. Nos statistiques montrent que 85% de nos étudiants trouvent un emploi dans les 6 mois suivant l'obtention de leur diplôme. Les principaux secteurs recruteurs sont : l'informatique et les télécommunications, le secteur bancaire et financier, l'industrie manufacturière, et les cabinets de conseil. Nos partenariats avec plus de 200 entreprises facilitent l'insertion professionnelle de nos étudiants.",/carrieres/debouches-professionnels
34,programmes,Perspectives d'emploi avec un diplôme de l'ISET,"Les diplômés de l'ISET bénéficient de nombreux débouchés professionnels. Nos statistiques montrent que 85% de nos étudiants trouvent un emploi dans les 6 mois suivant l'obtention de leur diplôme. Les principaux secteurs recruteurs sont : l'informatique et les télécommunications, le secteur bancaire et financier, l'industrie manufacturière, et les cabinets de conseil. Nos partenariats avec plus de 200 entreprises facilitent l'insertion professionnelle de nos étudiants.",/carrieres/debouches-professionnels
35,programmes,Carrières possibles après mes études,"Les diplômés de l'ISET bénéficient de nombreux débouchés professionnels. Nos statistiques montrent que 85% de nos étudiants trouvent un emploi dans les 6 mois suivant l'obtention de leur diplôme. Les principaux secteurs recruteurs sont : l'informatique et les télécommunications, le secteur bancaire et financier, l'industrie manufacturière, et les cabinets de conseil. Nos partenariats avec plus de 200 entreprises facilitent l'insertion professionnelle de nos étudiants.",/carrieres/debouches-professionnels
36,programmes,Est-il possible de poursuivre ses études à l'étranger après l'ISET?,"Absolument, l'ISET a établi des conventions avec plusieurs universités internationales en France, Canada, Allemagne et États-Unis. Nos diplômes sont reconnus à l'international, facilitant la poursuite d'études à l'étranger. Chaque année, environ 20% de nos diplômés poursuivent un master ou un doctorat à l'international. Notre bureau des relations internationales vous accompagne dans vos démarches (choix d'université, constitution du dossier, demande de bourse).",/international/poursuite-etudes
37,programmes,Possibilités d'études à l'international après l'ISET,"Absolument, l'ISET a établi des conventions avec plusieurs universités internationales en France, Canada, Allemagne et États-Unis. Nos diplômes sont reconnus à l'international, facilitant la poursuite d'études à l'étranger. Chaque année, environ 20% de nos diplômés poursuivent un master ou un doctorat à l'international. Notre bureau des relations internationales vous accompagne dans vos démarches (choix d'université, constitution du dossier, demande de bourse).",/international/poursuite-etudes
38,programmes,Équivalences des diplômes de l'ISET à l'étranger,"Absolument, l'ISET a établi des conventions avec plusieurs universités internationales en France, Canada, Allemagne et États-Unis. Nos diplômes sont reconnus à l'international, facilitant la poursuite d'études à l'étranger. Chaque année, environ 20% de nos diplômés poursuivent un master ou un doctorat à l'international. Notre bureau des relations internationales vous accompagne dans vos démarches (choix d'université, constitution du dossier, demande de bourse).",/international/poursuite-etudes
39,programmes,Partenariats avec des universités étrangères,"Absolument, l'ISET a établi des conventions avec plusieurs universités internationales en France, Canada, Allemagne et États-Unis. Nos diplômes sont reconnus à l'international, facilitant la poursuite d'études à l'étranger. Chaque année, environ 20% de nos diplômés poursuivent un master ou un doctorat à l'international. Notre bureau des relations internationales vous accompagne dans vos démarches (choix d'université, constitution du dossier, demande de bourse).",/international/poursuite-etudes
40,programmes,Comment continuer en master à l'étranger?,"Absolument, l'ISET a établi des conventions avec plusieurs universités internationales en France, Canada, Allemagne et États-Unis. Nos diplômes sont reconnus à l'international, facilitant la poursuite d'études à l'étranger. Chaque année, environ 20% de nos diplômés poursuivent un master ou un doctorat à l'international. Notre bureau des relations internationales vous accompagne dans vos démarches (choix d'université, constitution du dossier, demande de bourse).",/international/poursuite-etudes
41,vie_etudiante,Comment fonctionne le système de cours à l'ISET?,"À l'ISET, l'année est divisée en deux semestres de 14 semaines chacun. Les cours combinent théorie (cours magistraux), pratique (TD et TP) et projets. L'évaluation se fait par contrôle continu (40%) et examens finaux (60%). La présence est obligatoire avec un maximum de 25% d'absences autorisées. Les emplois du temps sont disponibles sur notre plateforme numérique et sont généralement organisés du lundi au vendredi, de 8h à 18h.",/etudes/organisation-pedagogique
42,vie_etudiante,Organisation des cours et des examens,"À l'ISET, l'année est divisée en deux semestres de 14 semaines chacun. Les cours combinent théorie (cours magistraux), pratique (TD et TP) et projets. L'évaluation se fait par contrôle continu (40%) et examens finaux (60%). La présence est obligatoire avec un maximum de 25% d'absences autorisées. Les emplois du temps sont disponibles sur notre plateforme numérique et sont généralement organisés du lundi au vendredi, de 8h à 18h.",/etudes/organisation-pedagogique
43,vie_etudiante,Emploi du temps à l'ISET,"À l'ISET, l'année est divisée en deux semestres de 14 semaines chacun. Les cours combinent théorie (cours magistraux), pratique (TD et TP) et projets. L'évaluation se fait par contrôle continu (40%) et examens finaux (60%). La présence est obligatoire avec un maximum de 25% d'absences autorisées. Les emplois du temps sont disponibles sur notre plateforme numérique et sont généralement organisés du lundi au vendredi, de 8h à 18h.",/etudes/organisation-pedagogique
44,vie_etudiante,Comment se déroulent les examens?,"À l'ISET, l'année est divisée en deux semestres de 14 semaines chacun. Les cours combinent théorie (cours magistraux), pratique (TD et TP) et projets. L'évaluation se fait par contrôle continu (40%) et examens finaux (60%). La présence est obligatoire avec un maximum de 25% d'absences autorisées. Les emplois du temps sont disponibles sur notre plateforme numérique et sont généralement organisés du lundi au vendredi, de 8h à 18h.",/etudes/organisation-pedagogique
45,vie_etudiante,Système d'évaluation à l'ISET,"À l'ISET, l'année est divisée en deux semestres de 14 semaines chacun. Les cours combinent théorie (cours magistraux), pratique (TD et TP) et projets. L'évaluation se fait par contrôle continu (40%) et examens finaux (60%). La présence est obligatoire avec un maximum de 25% d'absences autorisées. Les emplois du temps sont disponibles sur notre plateforme numérique et sont généralement organisés du lundi au vendredi, de 8h à 18h.",/etudes/organisation-pedagogique
46,vie_etudiante,Où trouver mon emploi du temps?,"Votre emploi du temps est disponible sur la plateforme numérique de l'ISET (espace étudiant). Connectez-vous avec vos identifiants pour y accéder. Les emplois du temps sont mis à jour chaque semaine, vérifiez-les régulièrement car des changements peuvent survenir. Vous pouvez également télécharger l'application mobile de l'ISET pour recevoir des notifications en cas de modification de votre planning.",/etudiants/emploi-temps
47,vie_etudiante,Comment accéder à mon planning de cours?,"Votre emploi du temps est disponible sur la plateforme numérique de l'ISET (espace étudiant). Connectez-vous avec vos identifiants pour y accéder. Les emplois du temps sont mis à jour chaque semaine, vérifiez-les régulièrement car des changements peuvent survenir. Vous pouvez également télécharger l'application mobile de l'ISET pour recevoir des notifications en cas de modification de votre planning.",/etudiants/emploi-temps
48,vie_etudiante,Consulter l'horaire des cours,"Votre emploi du temps est disponible sur la plateforme numérique de l'ISET (espace étudiant). Connectez-vous avec vos identifiants pour y accéder. Les emplois du temps sont mis à jour chaque semaine, vérifiez-les régulièrement car des changements peuvent survenir. Vous pouvez également télécharger l'application mobile de l'ISET pour recevoir des notifications en cas de modification de votre planning.",/etudiants/emploi-temps
49,vie_etudiante,Où voir mes heures de cours?,"Votre emploi du temps est disponible sur la plateforme numérique de l'ISET (espace étudiant). Connectez-vous avec vos identifiants pour y accéder. Les emplois du temps sont mis à jour chaque semaine, vérifiez-les régulièrement car des changements peuvent survenir. Vous pouvez également télécharger l'application mobile de l'ISET pour recevoir des notifications en cas de modification de votre planning.",/etudiants/emploi-temps
50,vie_etudiante,Planning hebdomadaire des cours,"Votre emploi du temps est disponible sur la plateforme numérique de l'ISET (espace étudiant). Connectez-vous avec vos identifiants pour y accéder. Les emplois du temps sont mis à jour chaque semaine, vérifiez-les régulièrement car des changements peuvent survenir. Vous pouvez également télécharger l'application mobile de l'ISET pour recevoir des notifications en cas de modification de votre planning.",/etudiants/emploi-temps
51,vie_etudiante,Comment accéder à la bibliothèque de l'ISET?,"La bibliothèque de l'ISET est ouverte du lundi au vendredi de 8h à 20h et le samedi de 9h à 13h. Votre carte d'étudiant vous permet d'emprunter jusqu'à 5 ouvrages pour une durée de 15 jours (renouvelable une fois). La bibliothèque offre également un accès à des bases de données scientifiques (IEEE, ACM, ScienceDirect) et dispose d'espaces de travail individuel et en groupe. Des formations à la recherche documentaire sont proposées chaque début de semestre.",/campus/bibliotheque
52,vie_etudiante,Horaires d'ouverture de la bibliothèque,"La bibliothèque de l'ISET est ouverte du lundi au vendredi de 8h à 20h et le samedi de 9h à 13h. Votre carte d'étudiant vous permet d'emprunter jusqu'à 5 ouvrages pour une durée de 15 jours (renouvelable une fois). La bibliothèque offre également un accès à des bases de données scientifiques (IEEE, ACM, ScienceDirect) et dispose d'espaces de travail individuel et en groupe. Des formations à la recherche documentaire sont proposées chaque début de semestre.",/campus/bibliotheque
53,vie_etudiante,Emprunter des livres à la bibliothèque,"La bibliothèque de l'ISET est ouverte du lundi au vendredi de 8h à 20h et le samedi de 9h à 13h. Votre carte d'étudiant vous permet d'emprunter jusqu'à 5 ouvrages pour une durée de 15 jours (renouvelable une fois). La bibliothèque offre également un accès à des bases de données scientifiques (IEEE, ACM, ScienceDirect) et dispose d'espaces de travail individuel et en groupe. Des formations à la recherche documentaire sont proposées chaque début de semestre.",/campus/bibliotheque
54,vie_etudiante,Ressources disponibles à la bibliothèque,"La bibliothèque de l'ISET est ouverte du lundi au vendredi de 8h à 20h et le samedi de 9h à 13h. Votre carte d'étudiant vous permet d'emprunter jusqu'à 5 ouvrages pour une durée de 15 jours (renouvelable une fois). La bibliothèque offre également un accès à des bases de données scientifiques (IEEE, ACM, ScienceDirect) et dispose d'espaces de travail individuel et en groupe. Des formations à la recherche documentaire sont proposées chaque début de semestre.",/campus/bibliotheque
55,vie_etudiante,Accès aux revues scientifiques,"La bibliothèque de l'ISET est ouverte du lundi au vendredi de 8h à 20h et le samedi de 9h à 13h. Votre carte d'étudiant vous permet d'emprunter jusqu'à 5 ouvrages pour une durée de 15 jours (renouvelable une fois). La bibliothèque offre également un accès à des bases de données scientifiques (IEEE, ACM, ScienceDirect) et dispose d'espaces de travail individuel et en groupe. Des formations à la recherche documentaire sont proposées chaque début de semestre.",/campus/bibliotheque
56,vie_etudiante,Quelles sont les activités extrascolaires disponibles?,"L'ISET propose une vingtaine d'activités extrascolaires : clubs techniques (robotique, programmation), clubs culturels (théâtre, musique, photographie), associations professionnelles (entrepreneuriat, finance) et activités sportives (football, basketball, volleyball, tennis). Des événements majeurs sont organisés tout au long de l'année : hackathons, compétitions sportives, journées culturelles. Pour rejoindre un club, consultez le bureau de la vie étudiante ou participez à la journée des clubs organisée en début d'année.",/vie-etudiante/clubs-associations
57,vie_etudiante,Clubs et associations étudiantes,"L'ISET propose une vingtaine d'activités extrascolaires : clubs techniques (robotique, programmation), clubs culturels (théâtre, musique, photographie), associations professionnelles (entrepreneuriat, finance) et activités sportives (football, basketball, volleyball, tennis). Des événements majeurs sont organisés tout au long de l'année : hackathons, compétitions sportives, journées culturelles. Pour rejoindre un club, consultez le bureau de la vie étudiante ou participez à la journée des clubs organisée en début d'année.",/vie-etudiante/clubs-associations
58,vie_etudiante,Activités sportives à l'ISET,"L'ISET propose une vingtaine d'activités extrascolaires : clubs techniques (robotique, programmation), clubs culturels (théâtre, musique, photographie), associations professionnelles (entrepreneuriat, finance) et activités sportives (football, basketball, volleyball, tennis). Des événements majeurs sont organisés tout au long de l'année : hackathons, compétitions sportives, journées culturelles. Pour rejoindre un club, consultez le bureau de la vie étudiante ou participez à la journée des clubs organisée en début d'année.",/vie-etudiante/clubs-associations
59,vie_etudiante,Comment rejoindre un club étudiant?,"L'ISET propose une vingtaine d'activités extrascolaires : clubs techniques (robotique, programmation), clubs culturels (théâtre, musique, photographie), associations professionnelles (entrepreneuriat, finance) et activités sportives (football, basketball, volleyball, tennis). Des événements majeurs sont organisés tout au long de l'année : hackathons, compétitions sportives, journées culturelles. Pour rejoindre un club, consultez le bureau de la vie étudiante ou participez à la journée des clubs organisée en début d'année.",/vie-etudiante/clubs-associations
60,vie_etudiante,Événements organisés sur le campus,"L'ISET propose une vingtaine d'activités extrascolaires : clubs techniques (robotique, programmation), clubs culturels (théâtre, musique, photographie), associations professionnelles (entrepreneuriat, finance) et activités sportives (football, basketball, volleyball, tennis). Des événements majeurs sont organisés tout au long de l'année : hackathons, compétitions sportives, journées culturelles. Pour rejoindre un club, consultez le bureau de la vie étudiante ou participez à la journée des clubs organisée en début d'année.",/vie-etudiante/clubs-associations
61,logistique,Comment se rendre à l'ISET en transport en commun?,"L'ISET est accessible par plusieurs moyens de transport : Bus (lignes 10, 15 et 23, arrêt 'ISET'), Métro (station Université, puis 10 minutes à pied), Train (gare centrale, puis bus ligne 15). Un parking gratuit de 200 places est disponible pour les étudiants possédant un véhicule. Des emplacements pour vélos sont également prévus à proximité de chaque bâtiment. Pour plus de détails, consultez le plan interactif sur notre site web.",/campus/acces-transport
62,logistique,Plan d'accès au campus,"L'ISET est accessible par plusieurs moyens de transport : Bus (lignes 10, 15 et 23, arrêt 'ISET'), Métro (station Université, puis 10 minutes à pied), Train (gare centrale, puis bus ligne 15). Un parking gratuit de 200 places est disponible pour les étudiants possédant un véhicule. Des emplacements pour vélos sont également prévus à proximité de chaque bâtiment. Pour plus de détails, consultez le plan interactif sur notre site web.",/campus/acces-transport
63,logistique,Lignes de bus desservant l'ISET,"L'ISET est accessible par plusieurs moyens de transport : Bus (lignes 10, 15 et 23, arrêt 'ISET'), Métro (station Université, puis 10 minutes à pied), Train (gare centrale, puis bus ligne 15). Un parking gratuit de 200 places est disponible pour les étudiants possédant un véhicule. Des emplacements pour vélos sont également prévus à proximité de chaque bâtiment. Pour plus de détails, consultez le plan interactif sur notre site web.",/campus/acces-transport
64,logistique,Itinéraire pour venir à l'ISET,"L'ISET est accessible par plusieurs moyens de transport : Bus (lignes 10, 15 et 23, arrêt 'ISET'), Métro (station Université, puis 10 minutes à pied), Train (gare centrale, puis bus ligne 15). Un parking gratuit de 200 places est disponible pour les étudiants possédant un véhicule. Des emplacements pour vélos sont également prévus à proximité de chaque bâtiment. Pour plus de détails, consultez le plan interactif sur notre site web.",/campus/acces-transport
65,logistique,Parking et stationnement à l'ISET,"L'ISET est accessible par plusieurs moyens de transport : Bus (lignes 10, 15 et 23, arrêt 'ISET'), Métro (station Université, puis 10 minutes à pied), Train (gare centrale, puis bus ligne 15). Un parking gratuit de 200 places est disponible pour les étudiants possédant un véhicule. Des emplacements pour vélos sont également prévus à proximité de chaque bâtiment. Pour plus de détails, consultez le plan interactif sur notre site web.",/campus/acces-transport
