id,category,question,answer,url
27,Formation,Comment sont organisés les stages dans le cursus?,"Les stages sont intégrés au cursus de formation. Un stage de fin d'études de 4 à 6 mois est obligatoire en dernière année de licence. Des stages d'observation ou d'initiation peuvent être proposés dans les années précédentes.",/formation/stages
28,Formation,Quels sont les débouchés après une licence en génie électrique?,"Les débouchés après une licence en génie électrique incluent des postes de technicien supérieur, chef de projet junior, ou responsable de maintenance dans des secteurs comme l'industrie, l'énergie, l'automatisme, ou les télécommunications.",/departements/genie-electrique/debouches
29,Formation,Est-il possible de poursuivre des études d'ingénieur après l'ISET Sfax?,"Oui, les diplômés de l'ISET Sfax peuvent poursuivre des études d'ingénieur, soit par concours d'accès aux écoles d'ingénieurs, soit par admission sur dossier dans certaines formations d'ingénierie en Tunisie ou à l'étranger.",/formation/poursuite-detudes
30,Formation,Quelles sont les langues d'enseignement à l'ISET Sfax?,"Les enseignements à l'ISET Sfax sont principalement dispensés en français et en arabe. Certains modules techniques peuvent être enseignés en anglais, surtout dans les niveaux avancés.",/formation/langues-denseignement
31,Formation,L'ISET Sfax propose-t-il des cours du soir ou des formations continues?,"Oui, l'ISET Sfax propose des formations continues et des cours du soir destinés aux professionnels souhaitant actualiser leurs compétences ou obtenir une certification complémentaire.",/formation-continue
32,Formation,Comment obtenir le syllabus détaillé d'une formation spécifique?,"Pour obtenir le syllabus détaillé d'une formation, vous pouvez consulter la section dédiée sur le site web ou contacter directement le département concerné par email ou téléphone.",/formation/programmes
33,Formation,Existe-t-il des accords de double diplôme avec des universités étrangères?,"Oui, l'ISET Sfax a établi des accords de coopération avec plusieurs universités étrangères permettant aux étudiants d'obtenir un double diplôme ou de suivre une partie de leur cursus à l'étranger.",/relations-internationales/doubles-diplomes
34,Formation,Les étudiants ont-ils accès à des certifications professionnelles?,"Oui, l'ISET Sfax encourage ses étudiants à obtenir des certifications professionnelles reconnues dans leur domaine (Cisco, Microsoft, Oracle, etc.) et propose des préparations spécifiques.",/formation/certifications
35,Formation,Comment fonctionne le système de crédits ECTS à l'ISET Sfax?,"L'ISET Sfax applique le système européen de transfert de crédits (ECTS), où chaque module d'enseignement correspond à un nombre de crédits reflétant la charge de travail. Une licence complète équivaut à 180 crédits ECTS.",/formation/systeme-de-credits
36,Formation,Y a-t-il des cours de langues étrangères proposés?,"Oui, l'ISET Sfax propose des cours de langues étrangères, principalement l'anglais et l'allemand, qui font partie intégrante du cursus académique dans toutes les spécialités.",/formation/langues-etrangeres
37,Formation,Comment sont composées les équipes pédagogiques?,"Les équipes pédagogiques de l'ISET Sfax sont composées d'enseignants-chercheurs permanents, de professionnels du secteur privé assurant des enseignements spécialisés, et d'intervenants internationaux dans le cadre de partenariats.",/equipe-pedagogique
38,Formation,Existe-t-il des programmes de tutorat pour les étudiants?,"Oui, l'ISET Sfax a mis en place un système de tutorat où des enseignants et des étudiants avancés accompagnent les nouveaux étudiants pour faciliter leur intégration et les aider dans leurs études.",/vie-etudiante/tutorat
39,Formation,Quelle est la politique concernant l'assiduité aux cours?,"L'assiduité aux cours, travaux dirigés et travaux pratiques est obligatoire à l'ISET Sfax. Des absences non justifiées au-delà d'un certain seuil peuvent entraîner l'exclusion d'un module ou l'impossibilité de passer les examens.",/formation/reglement-des-etudes
40,Formation,Comment se déroule le projet de fin d'études?,"Le projet de fin d'études (PFE) se déroule généralement au dernier semestre. L'étudiant réalise un projet au sein d'une entreprise, encadré par un tuteur professionnel et un enseignant. Le projet est ensuite présenté devant un jury pour évaluation.",/formation/projet-de-fin-detudes
41,Admission,Comment s'inscrire à l'ISET Sfax?,"Pour s'inscrire à l'ISET Sfax, les bacheliers doivent passer par la procédure d'orientation universitaire nationale. Les admissions se font sur dossier en fonction des résultats du baccalauréat et des choix exprimés.",/admission/procedure-dinscription
42,Admission,Quelles sont les dates limites d'inscription à l'ISET Sfax?,"Les dates limites d'inscription varient chaque année académique, mais généralement les inscriptions se déroulent entre juillet et septembre. Les dates précises sont publiées sur le site web et les réseaux sociaux de l'institut.",/admission/calendrier-des-inscriptions
43,Admission,Quels sont les frais de scolarité à l'ISET Sfax?,"Les frais de scolarité à l'ISET Sfax sont fixés par le Ministère de l'Enseignement Supérieur. Pour les étudiants tunisiens, ils sont d'environ 50-80 dinars par an pour les licences. Des frais supplémentaires peuvent s'appliquer pour certains programmes spécifiques.",/admission/frais-de-scolarite
44,Admission,Quels documents sont nécessaires pour l'inscription à l'ISET Sfax?,"Les documents nécessaires pour l'inscription incluent : attestation d'orientation, copie du baccalauréat, extrait de naissance, photos d'identité, copie de la carte d'identité nationale, et le reçu de paiement des frais d'inscription.",/admission/documents-requis
45,Admission,L'ISET Sfax accepte-t-il les étudiants internationaux?,"Oui, l'ISET Sfax accepte les étudiants internationaux. Ces derniers doivent obtenir une pré-inscription via l'ambassade de Tunisie dans leur pays d'origine ou directement auprès du Ministère de l'Enseignement Supérieur tunisien.",/admission/etudiants-internationaux
46,Admission,Existe-t-il des bourses d'études à l'ISET Sfax?,"Oui, les étudiants de l'ISET Sfax peuvent bénéficier des bourses nationales attribuées par le Ministère de l'Enseignement Supérieur et des bourses spécifiques offertes par des partenaires privés ou des organismes internationaux.",/vie-etudiante/bourses
47,Admission,Comment se réoriente-t-on vers l'ISET Sfax après une première année universitaire ailleurs?,"La réorientation vers l'ISET Sfax après une première année universitaire est possible via une demande de transfert. Le dossier est évalué par une commission qui examine la compatibilité des acquis avec la formation visée.",/admission/reorientation
48,Admission,Y a-t-il un âge limite pour s'inscrire à l'ISET Sfax?,"Il n'y a pas d'âge limite strict pour s'inscrire à l'ISET Sfax, bien que la majorité des étudiants soient des bacheliers récents. Les candidats plus âgés sont également acceptés, surtout dans le cadre de la formation continue.",/admission/conditions
49,Admission,Est-il possible de visiter l'ISET Sfax avant de s'inscrire?,"Oui, l'ISET Sfax organise régulièrement des journées portes ouvertes permettant aux futurs étudiants de visiter les installations et de rencontrer les enseignants. Il est également possible de demander une visite individuelle en contactant l'administration.",/admission/portes-ouvertes
50,Admission,Comment fonctionne le système de sélection à l'ISET Sfax?,"La sélection à l'ISET Sfax se fait principalement sur la base des résultats du baccalauréat et du processus d'orientation universitaire national. Pour certaines formations spécifiques ou les mastères, une sélection sur dossier peut être appliquée.",/admission/selection
51,Admission,Existe-t-il des quotas par spécialité de baccalauréat?,"Oui, il existe des quotas par spécialité de baccalauréat pour chaque formation. Certaines spécialités comme les filières techniques sont privilégiées pour les formations en génie, tandis que les filières économiques sont préférées pour les formations en gestion.",/admission/quotas-par-specialite
52,Admission,Peut-on s'inscrire à l'ISET Sfax après un BTS ou un diplôme équivalent?,"Oui, les titulaires d'un BTS ou d'un diplôme équivalent peuvent s'inscrire à l'ISET Sfax, généralement en intégrant directement la deuxième année de licence après étude de leur dossier par une commission pédagogique.",/admission/admission-parallele
53,Admission,Les étudiants en situation de handicap peuvent-ils être admis à l'ISET Sfax?,"Oui, l'ISET Sfax accueille les étudiants en situation de handicap et dispose d'infrastructures adaptées. Des aménagements spécifiques peuvent être mis en place pour les examens et les cours selon les besoins.",/admission/etudiants-handicapes
54,Admission,Quand commencent les cours pour les nouveaux inscrits?,"Les cours pour les nouveaux inscrits commencent généralement mi-septembre. Une semaine d'intégration est souvent organisée avant le début officiel des cours pour familiariser les étudiants avec l'institut.",/admission/calendrier
55,Admission,Peut-on s'inscrire à l'ISET Sfax en cours d'année universitaire?,"En général, l'inscription à l'ISET Sfax n'est pas possible en cours d'année universitaire pour les formations initiales. Des exceptions peuvent être faites dans des cas particuliers comme les transferts ou certaines formations continues.",/admission/inscriptions-tardives
56,Admission,Comment faire une demande de chambre en résidence universitaire?,"La demande de chambre en résidence universitaire se fait via le portail des œuvres universitaires après l'inscription à l'ISET Sfax. Les places sont attribuées selon des critères sociaux et la distance du domicile familial.",/vie-etudiante/logement
57,Admission,Les bacheliers étrangers suivent-ils la même procédure d'admission?,"Non, les bacheliers étrangers suivent une procédure d'admission spécifique. Ils doivent généralement présenter leur candidature via l'ambassade de Tunisie dans leur pays ou directement auprès du Ministère de l'Enseignement Supérieur tunisien.",/admission/etudiants-internationaux
58,Admission,Existe-t-il un concours d'entrée pour certaines filières?,"Non, il n'y a pas de concours d'entrée spécifique pour les formations de licence à l'ISET Sfax. L'admission se fait sur dossier. Pour certains mastères professionnels, une sélection plus stricte peut inclure un entretien ou un test.",/admission/modalites
59,Admission,Comment faire valider des acquis professionnels pour intégrer l'ISET Sfax?,"La validation des acquis professionnels pour intégrer l'ISET Sfax est possible pour certaines formations. Le candidat doit constituer un dossier détaillant son expérience, qui sera évalué par une commission pédagogique.",/admission/validation-des-acquis
60,Admission,Existe-t-il une limite au nombre d'inscriptions possibles dans une même formation?,"Oui, il existe généralement une limite au nombre d'inscriptions possibles dans une même formation. Un étudiant ne peut pas redoubler plus de deux fois durant son cursus, sauf dérogation exceptionnelle.",/formation/reglement-des-etudes
61,Vie étudiante,Quels clubs et associations existent à l'ISET Sfax?,"L'ISET Sfax compte de nombreux clubs et associations étudiants couvrant divers domaines : robotique, entrepreneuriat, culture, sports, arts, développement durable, actions humanitaires, etc.",/vie-etudiante/clubs
62,Vie étudiante,Y a-t-il un restaurant universitaire à l'ISET Sfax?,"Oui, l'ISET Sfax dispose d'un restaurant universitaire offrant des repas à prix subventionnés pour les étudiants et le personnel. Des cafétérias sont également disponibles sur le campus.",/vie-etudiante/restauration
63,Vie étudiante,Comment accéder aux installations sportives de l'ISET Sfax?,"Les installations sportives de l'ISET Sfax (terrain de football, salle de sport, courts de tennis, etc.) sont accessibles gratuitement aux étudiants selon un planning établi. Certaines activités nécessitent une inscription préalable auprès du service des sports.",/vie-etudiante/sport
64,Vie étudiante,Existe-t-il une résidence universitaire pour les étudiants de l'ISET Sfax?,"L'ISET Sfax ne dispose pas de sa propre résidence universitaire, mais les étudiants peuvent accéder aux résidences universitaires de Sfax gérées par l'Office des Œuvres Universitaires pour le Sud.",/vie-etudiante/logement
65,Vie étudiante,Quels services médicaux sont disponibles sur le campus?,"L'ISET Sfax dispose d'un centre de santé universitaire offrant des consultations médicales de base, un soutien psychologique et des premiers soins. Des campagnes de sensibilisation et de prévention sont régulièrement organisées.",/vie-etudiante/sante
66,Vie étudiante,Comment participer aux activités culturelles de l'ISET Sfax?,"Pour participer aux activités culturelles, les étudiants peuvent rejoindre les clubs concernés ou s'inscrire aux événements spécifiques annoncés sur les tableaux d'affichage et les réseaux sociaux de l'institut.",/vie-etudiante/activites-culturelles
67,Vie étudiante,L'ISET Sfax organise-t-il des événements spéciaux pour les étudiants?,"Oui, l'ISET Sfax organise régulièrement des événements spéciaux comme la journée d'intégration, les forums d'entreprises, les compétitions sportives inter-ISET, les hackathons, et les festivals culturels.",/vie-etudiante/evenements
68,Vie étudiante,Comment créer un nouveau club étudiant à l'ISET Sfax?,"Pour créer un nouveau club étudiant, il faut soumettre une proposition détaillée au service des affaires estudiantines, incluant les objectifs du club, la liste des membres fondateurs, et un plan d'activités. Après approbation, le club peut commencer ses activités.",/vie-etudiante/creation-de-club
69,Vie étudiante,Y a-t-il une bibliothèque sur le campus?,"Oui, l'ISET Sfax dispose d'une bibliothèque moderne offrant une large collection d'ouvrages techniques et scientifiques, des revues spécialisées, et un accès à des ressources numériques. Des espaces de travail individuels et en groupe sont également disponibles.",/services/bibliotheque
70,Vie étudiante,Comment obtenir une carte d'étudiant à l'ISET Sfax?,"La carte d'étudiant est délivrée automatiquement après l'inscription administrative complète. Les nouveaux étudiants peuvent la récupérer auprès du service de scolarité, généralement dans les deux semaines suivant la rentrée.",/vie-etudiante/carte-etudiant
71,Vie étudiante,Existe-t-il un bureau des anciens étudiants?,"Oui, l'ISET Sfax dispose d'une association des anciens étudiants qui organise des rencontres, facilite le réseautage professionnel et maintient un lien entre les diplômés et l'institut.",/vie-etudiante/association-des-anciens
72,Vie étudiante,Y a-t-il un service d'orientation professionnelle?,"Oui, l'ISET Sfax dispose d'un service d'orientation professionnelle qui accompagne les étudiants dans la définition de leur projet professionnel, la recherche de stages et d'emplois, et l'organisation d'ateliers sur les techniques de recherche d'emploi.",/services/orientation-professionnelle
73,Vie étudiante,Comment se connecter au Wi-Fi sur le campus?,"Pour se connecter au Wi-Fi du campus, les étudiants doivent utiliser leurs identifiants institutionnels fournis lors de l'inscription. Le réseau 'ISET-Connect' est disponible dans tous les bâtiments du campus.",/services/informatiques
74,Vie étudiante,L'ISET Sfax propose-t-il des activités extra-académiques?,"Oui, l'ISET Sfax propose de nombreuses activités extra-académiques à travers ses clubs et associations : compétitions techniques, défis d'innovation, sorties culturelles, tournois sportifs, actions bénévoles, etc.",/vie-etudiante/activites-extra-academiques
75,Vie étudiante,Y a-t-il un soutien psychologique disponible pour les étudiants?,"Oui, l'ISET Sfax offre un service de soutien psychologique confidentiel aux étudiants qui rencontrent des difficultés personnelles, académiques ou d'adaptation. Des psychologues sont disponibles sur rendez-vous.",/vie-etudiante/soutien-psychologique
76,Vie étudiante,Comment s'impliquer dans la représentation étudiante?,"Les étudiants peuvent s'impliquer dans la représentation étudiante en se portant candidats aux élections des délégués de classe en début d'année. Ces délégués participent ensuite aux conseils de département et peuvent être élus au conseil scientifique de l'institut.",/vie-etudiante/representation-etudiante
77,Vie étudiante,Existe-t-il des espaces de co-working pour les étudiants?,"Oui, l'ISET Sfax dispose d'espaces de co-working et d'incubation destinés aux projets étudiants, particulièrement dans le domaine de l'entrepreneuriat et de l'innovation technologique.",/services/espaces-de-travail
78,Vie étudiante,Comment accéder aux ressources informatiques?,"Les étudiants ont accès aux salles informatiques selon un planning établi. Ils disposent également d'un accès personnel aux plateformes d'apprentissage en ligne et aux logiciels spécialisés nécessaires à leur formation.",/services/informatiques
79,Vie étudiante,Y a-t-il des compétitions inter-universitaires?,"Oui, l'ISET Sfax participe régulièrement à des compétitions inter-universitaires dans divers domaines : sports, robotique, programmation, débats, projets d'innovation, etc. Les étudiants peuvent représenter l'institut lors de ces événements.",/vie-etudiante/competitions
80,Vie étudiante,Comment bénéficier d'une bourse d'études?,"Pour bénéficier d'une bourse d'études, les étudiants tunisiens doivent déposer une demande auprès de l'Office des Œuvres Universitaires. Les critères d'attribution sont principalement socio-économiques. Des bourses spécifiques peuvent également être offertes par des partenaires privés.",/vie-etudiante/bourses
81,Recherche,Quels sont les laboratoires de recherche à l'ISET Sfax?,"L'ISET Sfax abrite plusieurs unités de recherche dans des domaines comme les systèmes embarqués, l'informatique industrielle, les énergies renouvelables, les matériaux innovants et la gestion industrielle.",/recherche/laboratoires
82,Recherche,Comment participer à un projet de recherche en tant qu'étudiant?,"Les étudiants intéressés par la recherche peuvent contacter directement les responsables des laboratoires ou leurs enseignants. Des opportunités de participation à des projets sont souvent proposées aux étudiants performants, particulièrement en dernière année.",/recherche/opportunites-etudiants
83,Recherche,L'ISET Sfax publie-t-il une revue scientifique?,"Oui, l'ISET Sfax contribue à la publication de la revue 'Innovations Technologiques' qui présente les travaux de recherche de l'institut et de ses partenaires dans divers domaines technologiques.",/recherche/publications
84,Recherche,Quels sont les axes de recherche prioritaires à l'ISET Sfax?,"Les axes de recherche prioritaires à l'ISET Sfax incluent : l'industrie 4.0, les énergies renouvelables, l'intelligence artificielle, les systèmes embarqués, le développement durable, et l'innovation dans les procédés industriels.",/recherche/axes-prioritaires
85,Recherche,Existe-t-il des collaborations avec des entreprises pour la recherche?,"Oui, l'ISET Sfax maintient des collaborations étroites avec le secteur industriel pour des projets de recherche appliquée. Ces partenariats concernent notamment le développement de solutions innovantes, l'optimisation des processus et l'amélioration des produits.",/recherche/partenariats-industriels
86,Recherche,Comment sont financés les projets de recherche à l'ISET Sfax?,"Les projets de recherche à l'ISET Sfax sont financés par différentes sources : subventions ministérielles, programmes nationaux de recherche, projets européens (Erasmus+, Horizon Europe), contrats avec des entreprises privées, et fondations internationales.",/recherche/financement
87,Recherche,L'ISET Sfax organise-t-il des conférences scientifiques?,"Oui, l'ISET Sfax organise régulièrement des conférences scientifiques nationales et internationales, ainsi que des workshops thématiques dans ses domaines d'expertise. Ces événements réunissent chercheurs, industriels et étudiants.",/recherche/evenements
88,Recherche,Y a-t-il des brevets déposés par l'ISET Sfax?,"Oui, l'ISET Sfax a déposé plusieurs brevets issus de ses travaux de recherche, notamment dans les domaines des énergies renouvelables, des systèmes embarqués et des procédés industriels innovants.",/recherche/brevets
89,Recherche,Comment accéder aux publications des chercheurs de l'ISET Sfax?,"Les publications des chercheurs de l'ISET Sfax peuvent être consultées dans le dépôt institutionnel accessible depuis le site web de l'institut. Certaines publications sont également disponibles sur des plateformes académiques comme ResearchGate ou Google Scholar.",/recherche/acces-publications
90,Recherche,Existe-t-il un doctorat à l'ISET Sfax?,"L'ISET Sfax ne délivre pas directement de doctorat, mais ses enseignants-chercheurs peuvent encadrer des doctorants en cotutelle avec des universités partenaires. Les étudiants de l'ISET peuvent poursuivre en doctorat après leur mastère dans d'autres institutions.",/recherche/doctorat
91,Recherche,Comment les résultats de recherche sont-ils valorisés?,"Les résultats de recherche sont valorisés à travers des publications scientifiques, des brevets, des transferts de technologie vers l'industrie, la création de startups, et l'intégration des innovations dans les formations dispensées à l'institut.",/recherche/valorisation
92,Recherche,Existe-t-il des prix ou distinctions pour les chercheurs?,"Oui, l'ISET Sfax reconnaît l'excellence en recherche par des prix annuels décernés aux meilleurs chercheurs et innovateurs. L'institut célèbre également les succès de ses chercheurs dans des compétitions nationales et internationales.",/recherche/prix-et-distinctions
93,Recherche,L'ISET Sfax dispose-t-il d'équipements spécifiques pour la recherche?,"Oui, l'ISET Sfax dispose de laboratoires équipés d'instruments de pointe pour la recherche dans ses domaines d'expertise : prototypage rapide, analyse de matériaux, test de systèmes électroniques, simulation numérique, etc.",/recherche/equipements
94,Recherche,Comment s'impliquent les étudiants dans la recherche?,"Les étudiants s'impliquent dans la recherche principalement à travers leurs projets de fin d'études, des stages dans les laboratoires, la participation à des challenges d'innovation, et l'association à des publications pour les plus performants.",/recherche/implication-etudiante
95,Recherche,Existe-t-il des bourses de recherche pour les étudiants?,"Oui, des bourses de recherche sont disponibles pour les étudiants impliqués dans des projets spécifiques, particulièrement au niveau mastère. Ces bourses peuvent provenir de financements institutionnels ou de projets en partenariat avec l'industrie.",/recherche/bourses
96,Recherche,L'ISET Sfax participe-t-il à des réseaux de recherche internationaux?,"Oui, l'ISET Sfax est membre de plusieurs réseaux de recherche internationaux, notamment dans les domaines des technologies de l'information, de l'énergie et du développement durable, facilitant les collaborations et échanges scientifiques.",/recherche/reseaux-internationaux
97,Recherche,Comment proposer un projet de recherche collaboratif?,"Pour proposer un projet de recherche collaboratif, les entreprises ou institutions intéressées peuvent contacter la direction de la recherche de l'ISET Sfax ou directement les responsables des laboratoires concernés. Un formulaire de proposition est disponible sur le site web.",/recherche/proposer-collaboration
98,Recherche,Quels sont les indicateurs de performance en recherche à l'ISET Sfax?,"Les principaux indicateurs de performance en recherche à l'ISET Sfax incluent le nombre de publications dans des revues indexées, les brevets déposés, les projets financés, les partenariats industriels, et l'impact des innovations sur le secteur socio-économique.",/recherche/indicateurs
99,Recherche,L'ISET Sfax dispose-t-il d'un incubateur pour les projets innovants?,"Oui, l'ISET Sfax héberge un incubateur technologique qui accompagne les projets innovants issus de la recherche vers la création d'entreprises. Des espaces de travail, du mentorat et un réseau de partenaires sont mis à disposition des porteurs de projets.",/recherche/incubateur
100,Recherche,Comment l'ISET Sfax assure-t-il le transfert technologique?,"L'ISET Sfax assure le transfert technologique à travers une cellule dédiée qui facilite la valorisation des résultats de recherche, établit des partenariats avec l'industrie, et accompagne les chercheurs dans la protection et la commercialisation de leurs innovations.",/recherche/transfert-technologique
101,International,Quels sont les partenariats internationaux de l'ISET Sfax?,"L'ISET Sfax maintient des partenariats avec diverses institutions internationales, principalement en Europe (France, Italie, Espagne), en Afrique du Nord et au Moyen-Orient. Ces partenariats concernent la mobilité étudiante, les échanges académiques et les projets de recherche communs.",/relations-internationales/partenaires
102,International,Comment participer à un programme d'échange international?,"Pour participer à un programme d'échange international, les étudiants doivent candidater auprès du bureau des relations internationales de l'ISET Sfax. La sélection se fait sur dossier, incluant les résultats académiques et la motivation. Les programmes Erasmus+ sont particulièrement actifs.",/relations-internationales/programmes-dechange
103,International,L'ISET Sfax propose-t-il des stages à l'étranger?,"Oui, l'ISET Sfax facilite l'accès à des stages internationaux grâce à ses partenariats avec des entreprises et institutions étrangères. Le bureau des relations internationales accompagne les étudiants dans leurs démarches de candidature et de préparation.",/relations-internationales/stages-internationaux
104,International,Existe-t-il des doubles diplômes avec des universités étrangères?,"Oui, l'ISET Sfax a établi des accords de double diplôme avec certaines universités partenaires, permettant aux étudiants de valider simultanément un diplôme tunisien et un diplôme étranger après un parcours partiellement effectué dans chaque institution.",/relations-internationales/doubles-diplomes
105,International,Comment les enseignants peuvent-ils participer à la mobilité internationale?,"Les enseignants peuvent participer à la mobilité internationale à travers des programmes comme Erasmus+, des missions d'enseignement de courte durée, des projets de recherche collaboratifs, ou des sabbatiques dans des institutions partenaires.",/relations-internationales/mobilite-enseignants
106,International,L'ISET Sfax accueille-t-il des étudiants étrangers?,"Oui, l'ISET Sfax accueille des étudiants étrangers, principalement dans le cadre de programmes d'échange ou de mobilité, mais aussi des étudiants internationaux réguliers, notamment des pays africains et arabes.",/relations-internationales/accueil-etudiants-etrangers
107,International,Quelles sont les langues requises pour les échanges internationaux?,"Pour les échanges internationaux, la maîtrise du français est généralement suffisante pour les partenariats francophones. Pour d'autres destinations, l'anglais est souvent requis. Le niveau de compétence linguistique demandé varie selon les programmes et les institutions partenaires.",/relations-internationales/exigences-linguistiques
108,International,L'ISET Sfax participe-t-il à des projets européens?,"Oui, l'ISET Sfax participe activement à des projets européens comme Erasmus+, Horizon Europe, et d'autres initiatives de coopération méditerranéenne, tant dans le domaine de la formation que de la recherche et innovation.",/relations-internationales/projets-europeens
